Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
20/10/2022 20:21:24,"1459","22.5","63","1015"
20/10/2022 20:23:24,"507","22.7","40","1014"
20/10/2022 20:25:24,"483","20.7","45","1015"
20/10/2022 20:27:23,"1073","20.8","54","1014"
20/10/2022 20:29:23,"1150","21.3","54","1015"
20/10/2022 20:31:23,"1088","21.7","53","1014"
20/10/2022 20:33:23,"1057","22.1","52","1014"
20/10/2022 20:35:23,"1019","22.3","52","1014"
20/10/2022 20:37:23,"969","22.5","51","1014"
20/10/2022 20:39:23,"943","22.6","51","1014"
20/10/2022 20:41:23,"878","22.6","50","1014"
20/10/2022 20:43:24,"886","22.7","50","1014"
20/10/2022 20:45:24,"848","22.7","50","1014"
20/10/2022 20:47:24,"813","22.7","49","1014"
20/10/2022 20:49:24,"764","22.7","49","1014"
20/10/2022 20:51:24,"708","22.7","48","1014"
20/10/2022 20:53:24,"676","22.7","48","1014"
20/10/2022 20:55:24,"655","22.7","47","1014"
20/10/2022 20:57:24,"630","22.6","47","1014"
20/10/2022 20:59:24,"629","22.6","47","1014"
20/10/2022 21:01:24,"625","22.6","47","1014"
20/10/2022 21:03:24,"631","22.6","47","1014"
20/10/2022 21:05:24,"635","22.6","47","1014"
20/10/2022 21:07:24,"609","22.6","47","1014"
20/10/2022 21:09:24,"607","22.5","47","1014"
20/10/2022 21:11:24,"590","22.6","47","1014"
20/10/2022 21:13:24,"572","22.5","47","1014"
20/10/2022 21:15:24,"593","22.5","47","1014"
20/10/2022 21:17:24,"582","22.5","46","1014"
20/10/2022 21:19:24,"579","22.4","46","1014"
20/10/2022 21:19:26,"","22.4","46","1014"
20/10/2022 21:21:24,"584","22.4","46","1014"
20/10/2022 21:23:24,"590","22.4","46","1014"
20/10/2022 21:25:24,"582","22.4","46","1014"
20/10/2022 21:27:24,"572","22.4","46","1014"
20/10/2022 21:29:24,"576","22.3","46","1014"
20/10/2022 21:29:25,"576","22.3","46","1014"
20/10/2022 21:31:24,"591","22.3","46","1014"
20/10/2022 21:33:24,"578","22.3","46","1014"
20/10/2022 21:35:24,"591","22.3","46","1014"
20/10/2022 21:37:24,"576","22.2","46","1014"
20/10/2022 21:39:24,"562","22.2","46","1013"
20/10/2022 21:39:26,"562","22.2","46","1013"
20/10/2022 21:41:24,"562","22.1","46","1014"
20/10/2022 21:43:24,"558","22.1","46","1014"
20/10/2022 21:45:24,"562","22.1","46","1014"
20/10/2022 21:47:24,"572","22.1","46","1014"
20/10/2022 21:49:24,"557","22.0","46","1014"
20/10/2022 21:49:25,"557","22.0","46","1014"
20/10/2022 21:51:24,"584","21.9","47","1014"
20/10/2022 21:53:24,"591","21.9","48","1014"
20/10/2022 21:55:24,"584","21.9","47","1014"
20/10/2022 21:57:24,"585","21.8","47","1015"
20/10/2022 21:59:24,"581","21.8","47","1015"
20/10/2022 21:59:26,"581","21.8","47","1015"
20/10/2022 22:01:24,"583","21.8","47","1015"
20/10/2022 22:03:24,"570","21.8","47","1015"
20/10/2022 22:05:24,"583","21.8","47","1015"
20/10/2022 22:07:24,"624","21.7","46","1015"
20/10/2022 22:09:24,"585","21.7","46","1015"
20/10/2022 22:09:26,"585","21.7","46","1015"
20/10/2022 22:11:24,"577","21.7","47","1014"
20/10/2022 22:13:24,"588","21.7","47","1014"
20/10/2022 22:15:24,"577","21.7","47","1014"
20/10/2022 22:17:24,"581","21.7","47","1014"
20/10/2022 22:19:24,"590","21.7","47","1014"
20/10/2022 22:19:26,"590","21.7","47","1014"
20/10/2022 22:21:24,"572","21.6","47","1014"
20/10/2022 22:23:24,"579","21.6","47","1014"
20/10/2022 22:25:24,"572","21.6","47","1014"
20/10/2022 22:27:24,"575","21.6","47","1014"
20/10/2022 22:29:24,"568","21.6","46","1014"
20/10/2022 22:29:26,"568","21.6","46","1014"
20/10/2022 22:31:24,"546","21.5","46","1014"
20/10/2022 22:33:24,"550","21.5","46","1014"
20/10/2022 22:35:24,"546","21.5","46","1014"
20/10/2022 22:37:24,"545","21.5","46","1014"
20/10/2022 22:39:24,"558","21.4","46","1014"
20/10/2022 22:39:26,"558","21.4","46","1014"
20/10/2022 22:41:24,"561","21.3","46","1014"
20/10/2022 22:43:24,"560","21.4","46","1014"
20/10/2022 22:45:24,"561","21.3","46","1014"
20/10/2022 22:47:24,"548","21.3","46","1014"
20/10/2022 22:49:24,"553","21.2","46","1014"
20/10/2022 22:49:26,"553","21.2","46","1014"
20/10/2022 22:51:24,"565","21.2","46","1014"
20/10/2022 22:53:24,"555","21.2","46","1014"
20/10/2022 22:55:24,"565","21.2","46","1014"
20/10/2022 22:57:24,"533","21.1","46","1014"
20/10/2022 22:59:24,"535","21.1","46","1014"
20/10/2022 22:59:25,"535","21.1","46","1014"
20/10/2022 23:01:24,"532","21.0","46","1013"
